fromCity,sex,age,Pedu,traveltime,studytime,activities,internet,freetime,goout,alc,absences,grade
1,0,15,1.5,1,2,0,1,2,3,1.5,2,15.333333333333334
1,1,15,2.0,1,4,1,1,5,4,1.5,6,15.0
1,0,16,3.0,2,2,1,1,2,2,1.5,2,13.0
1,1,16,4.0,1,1,1,1,4,4,2.5,18,12.666666666666666
1,0,16,2.0,1,2,0,1,4,4,1.0,0,7.666666666666667
1,1,15,3.5,1,1,0,1,5,5,2.5,0,12.666666666666666
1,0,15,3.5,1,2,1,1,3,2,1.0,0,9.333333333333334
1,0,19,0.5,1,2,0,0,4,2,1.0,2,8.0
0,1,16,4.0,1,1,1,1,5,5,3.5,8,18.0
1,0,17,2.0,1,1,0,1,4,4,2.0,12,11.666666666666666
1,0,16,3.5,1,1,0,1,2,1,2.5,16,11.333333333333334
1,1,16,1.0,1,2,0,0,4,4,2.0,0,12.666666666666666
1,0,15,4.0,2,1,1,1,3,2,1.0,0,15.666666666666666
1,1,16,2.0,2,1,1,1,3,3,2.0,8,9.0
1,0,15,4.0,1,3,1,1,2,2,1.0,2,10.333333333333334
1,0,16,1.0,1,1,0,1,4,4,3.0,2,13.666666666666666
1,0,15,1.0,1,2,0,1,4,2,1.5,0,10.0
1,0,15,1.5,1,2,0,1,3,2,1.0,2,10.666666666666666
1,1,15,1.5,4,1,0,1,5,5,3.5,0,9.0
1,1,16,1.5,1,1,1,0,4,4,4.0,6,13.0
0,0,15,3.0,2,3,1,1,2,1,2.5,8,10.0
1,0,17,4.0,1,1,0,0,2,1,1.0,0,11.333333333333334
0,1,15,2.5,1,2,1,0,4,4,1.0,2,9.0
0,1,17,1.5,1,1,0,0,2,2,3.0,8,13.666666666666666
0,0,18,1.0,3,1,1,0,2,5,3.0,6,9.0
0,1,16,2.0,3,1,0,0,2,2,1.5,2,15.666666666666666
1,1,16,3.0,1,2,0,1,5,5,4.0,4,11.333333333333334
0,1,15,2.5,2,2,0,1,4,4,2.5,6,7.0
1,1,17,2.0,1,1,0,1,3,3,2.5,2,10.0
0,1,17,1.0,4,2,1,0,3,5,3.0,0,6.666666666666667
1,1,16,2.5,2,1,1,0,5,2,1.0,16,11.666666666666666
1,1,16,2.0,1,2,0,1,3,5,3.0,4,10.0
1,0,16,3.0,1,2,0,1,2,3,1.0,0,15.0
1,0,16,4.0,1,2,0,1,4,2,1.0,0,14.0
1,1,16,0.5,2,2,1,1,3,2,1.0,2,14.666666666666666
1,1,17,4.0,1,2,1,1,4,4,2.0,0,11.333333333333334
1,0,16,3.0,2,2,1,1,4,5,1.0,4,10.0
1,1,17,3.5,2,2,1,1,4,4,4.0,4,9.333333333333334
1,0,16,2.0,2,2,1,1,4,4,2.5,2,12.333333333333334
1,1,17,3.0,1,2,1,1,3,4,2.5,4,5.666666666666667
0,1,16,3.0,1,1,1,1,3,3,3.5,10,9.0
1,1,17,3.5,1,2,1,1,2,3,1.0,4,10.333333333333334
1,1,16,3.5,1,2,1,1,4,3,2.5,10,8.333333333333334
1,1,16,3.0,1,2,1,1,2,3,1.5,2,12.333333333333334
1,0,17,3.0,1,2,1,0,4,2,2.5,0,16.666666666666668
1,0,17,3.0,1,2,1,1,3,3,2.5,56,8.666666666666666
1,0,16,2.5,1,2,0,1,2,2,1.5,14,12.333333333333334
1,1,17,3.0,1,2,1,1,3,4,2.5,12,11.666666666666666
1,1,16,1.5,1,1,1,1,3,3,1.5,2,11.333333333333334
1,1,16,1.5,1,2,1,1,2,3,1.5,0,15.0
1,0,17,3.0,1,2,0,1,3,3,2.0,6,8.0
0,1,17,1.5,1,2,0,0,1,3,3.0,4,9.0
1,0,16,2.5,1,2,0,1,3,3,1.0,10,12.0
1,0,17,1.0,1,2,1,1,3,3,1.0,0,8.333333333333334
1,1,17,1.5,2,2,1,1,4,4,4.5,12,7.666666666666667
0,1,16,3.0,1,1,1,1,3,2,3.5,8,9.0
1,1,16,2.5,2,1,0,1,3,3,1.0,0,13.666666666666666
1,0,17,3.0,1,2,1,1,3,2,1.0,0,14.666666666666666
1,1,17,4.0,1,1,0,1,2,3,1.5,4,16.0
0,1,16,3.0,3,1,1,1,3,4,4.0,8,9.333333333333334
1,0,17,4.0,2,1,0,1,2,4,2.5,24,18.0
1,0,16,4.0,1,2,0,1,5,2,1.5,0,9.333333333333334
1,0,16,3.5,1,2,1,1,3,5,3.0,2,16.0
1,0,16,2.5,1,2,1,0,4,3,2.0,6,9.333333333333334
1,0,17,1.0,1,2,0,0,4,4,2.0,4,9.333333333333334
0,0,17,2.0,1,1,0,1,3,2,1.5,18,6.333333333333333
0,0,16,2.0,2,4,1,1,3,5,1.0,6,10.333333333333334
1,0,17,3.5,1,3,0,1,4,3,3.5,28,9.333333333333334
1,0,16,2.0,1,2,0,1,3,3,2.0,5,7.0
1,0,16,3.5,1,2,1,1,3,2,1.0,10,12.0
1,0,16,1.0,2,1,0,0,3,2,2.5,6,9.333333333333334
0,0,17,3.5,2,3,1,1,4,2,1.0,6,7.0
1,0,19,3.0,1,4,1,1,3,3,1.5,10,8.0
1,1,17,4.0,1,2,0,1,3,5,4.5,13,12.333333333333334
1,0,16,2.0,1,2,0,1,3,4,1.0,0,13.0
1,1,18,2.0,1,2,1,1,4,4,3.0,15,7.0
0,0,17,4.0,1,1,0,0,2,1,1.5,12,9.333333333333334
1,0,17,2.5,2,2,0,1,4,4,2.0,2,14.666666666666666
1,0,17,3.5,1,2,0,1,4,5,3.0,22,5.333333333333333
1,1,18,3.0,1,2,0,1,2,4,3.0,13,6.666666666666667
1,0,17,2.5,2,1,0,0,3,3,2.5,3,7.333333333333333
1,0,17,2.0,1,3,1,1,3,3,1.0,4,9.666666666666666
0,0,17,1.5,2,2,1,1,2,5,1.5,2,6.0
1,0,16,2.5,1,2,0,1,3,1,1.0,2,16.333333333333332
1,1,18,2.0,2,2,0,1,3,3,5.0,0,12.666666666666666
1,0,16,4.0,1,3,1,1,3,2,1.0,0,13.333333333333334
0,0,18,2.0,1,2,1,1,3,3,1.0,16,8.0
1,0,17,2.5,1,2,1,1,3,4,2.0,10,15.333333333333334
1,1,17,2.5,1,2,0,1,3,3,2.0,2,11.666666666666666
1,1,18,1.5,4,2,1,1,3,2,4.5,14,9.0
1,0,17,1.5,2,3,1,1,2,3,1.5,10,11.333333333333334
1,0,17,3.5,1,2,1,1,2,3,1.5,14,13.333333333333334
0,1,17,2.0,2,2,1,1,5,2,1.0,4,11.0
1,1,17,4.0,1,2,1,1,5,5,2.0,14,9.666666666666666
1,1,16,4.0,1,2,1,1,2,4,3.0,2,13.333333333333334
1,1,16,1.0,2,2,0,1,4,2,1.0,18,7.333333333333333
1,1,16,2.5,2,3,1,1,3,3,2.0,10,10.0
1,1,17,2.0,1,2,1,1,4,2,5.0,4,13.333333333333334
1,0,16,1.5,1,1,0,1,5,2,1.0,20,12.333333333333334
0,0,17,1.5,3,2,1,0,1,1,1.0,2,11.666666666666666
1,1,17,3.5,2,2,1,1,5,5,2.5,14,12.0
0,1,17,4.0,2,2,0,1,3,3,2.5,2,11.0
1,1,16,4.0,1,1,1,1,3,2,1.5,0,12.333333333333334
1,1,16,1.5,3,1,0,1,3,3,1.0,6,18.0
1,1,17,2.5,2,1,0,1,2,2,1.0,4,12.333333333333334
1,1,22,2.0,1,1,0,1,4,5,5.0,16,7.333333333333333
0,1,18,3.0,1,2,0,1,3,3,2.0,8,4.333333333333333
1,1,16,1.0,1,1,0,1,3,2,3.0,0,14.333333333333334
1,1,18,2.5,2,1,0,1,4,5,3.0,0,7.333333333333333
1,1,16,3.0,3,2,0,1,3,3,2.0,6,9.0
1,1,18,1.5,1,1,0,1,2,5,3.5,4,7.666666666666667
0,1,16,1.5,2,1,1,0,3,2,2.0,0,8.333333333333334
0,1,17,1.5,1,1,0,1,4,2,3.0,0,10.666666666666666
1,1,17,1.0,2,1,1,1,4,4,1.5,2,8.0
1,0,17,3.0,1,4,1,1,2,3,1.0,6,13.0
1,1,19,3.5,1,2,0,1,3,1,1.0,12,11.0
1,1,18,1.5,1,2,1,1,2,4,1.5,8,14.333333333333334
1,0,18,3.5,1,2,0,1,1,2,2.0,21,17.666666666666668
1,1,18,3.5,1,2,0,1,3,2,1.0,2,8.0
0,1,18,2.5,1,3,1,0,3,2,1.0,1,12.333333333333334
1,0,17,3.0,1,3,1,0,2,3,1.0,4,9.333333333333334
0,1,18,3.5,2,2,1,1,2,5,3.5,13,17.0
1,1,17,2.0,1,2,1,1,4,4,3.5,2,9.333333333333334
0,0,18,4.0,2,2,1,1,3,4,2.0,8,11.0
1,1,18,3.0,1,2,1,1,4,5,2.0,10,9.666666666666666
1,0,19,3.0,1,2,1,1,3,5,3.0,15,9.0
1,0,18,2.5,1,4,1,1,5,5,2.0,4,14.333333333333334
1,0,18,1.0,2,2,0,0,4,3,1.0,2,11.0
0,1,17,1.5,1,2,1,0,5,2,2.0,2,14.333333333333334
1,0,17,3.0,2,2,0,1,3,3,1.0,2,10.0
1,0,17,2.0,2,2,0,1,4,4,2.5,6,12.0
0,0,18,2.5,2,2,0,1,1,1,1.0,75,9.333333333333334
1,1,18,4.0,2,1,1,1,2,4,2.5,22,9.0
1,0,18,4.0,1,2,1,1,4,4,1.0,15,8.333333333333334
1,1,18,3.5,2,1,1,1,2,3,1.5,8,10.333333333333334
1,1,17,2.5,2,1,1,1,5,4,3.0,30,8.0
1,1,17,2.5,1,1,0,1,4,4,3.5,19,10.0
0,0,18,1.0,2,4,1,0,2,2,1.0,1,12.0
1,0,18,1.0,2,2,1,1,4,4,1.0,4,9.0
1,0,17,2.0,1,2,0,1,4,5,1.5,4,10.0
1,1,17,1.0,1,2,0,1,3,3,1.5,2,11.0
1,0,18,2.0,1,3,0,1,3,3,1.5,5,18.333333333333332
1,0,17,1.0,1,3,0,1,3,3,1.0,6,12.333333333333334
1,1,18,1.5,1,3,1,1,2,4,2.0,6,14.333333333333334
1,1,18,4.0,1,2,1,1,4,3,1.0,9,14.333333333333334
1,1,18,3.0,1,2,1,1,3,2,2.5,11,11.333333333333334
1,0,17,3.5,1,3,0,1,2,2,1.5,0,15.0
1,0,18,1.5,1,2,0,1,4,3,1.0,12,12.333333333333334
0,0,17,2.0,2,4,0,0,1,2,1.0,6,18.0
0,1,18,2.5,2,3,1,1,4,2,1.0,8,13.666666666666666
1,1,17,3.0,1,1,0,1,4,3,2.0,4,12.333333333333334
1,0,18,3.5,2,2,0,1,4,5,1.5,10,8.666666666666666
1,0,18,3.5,1,4,0,1,3,3,1.0,0,13.666666666666666
1,1,18,4.0,1,1,0,1,4,2,2.0,5,15.666666666666666
1,0,18,4.0,1,2,0,1,2,4,1.0,14,11.0
1,1,17,4.0,2,1,0,1,1,1,2.0,0,10.666666666666666
1,0,17,3.0,2,3,0,1,3,3,1.0,0,13.666666666666666
1,0,17,2.5,1,4,1,1,2,2,1.5,0,17.333333333333332
1,1,19,3.0,1,2,1,1,4,4,1.0,20,14.0
1,0,18,3.0,1,2,1,1,4,3,1.0,8,12.666666666666666
1,1,20,2.5,1,1,1,0,5,3,1.0,0,17.666666666666668
1,1,19,4.0,2,1,0,1,3,4,1.0,38,8.333333333333334
0,1,19,3.0,1,2,1,0,5,3,1.5,0,13.0
1,0,19,1.0,1,2,1,1,4,3,2.0,18,10.666666666666666
1,0,19,1.5,3,2,0,1,4,1,1.0,20,13.0
1,1,19,1.5,1,2,0,1,5,2,2.0,3,11.666666666666666
1,0,19,2.5,2,2,0,1,2,2,1.5,22,11.333333333333334
1,0,19,1.0,1,3,0,1,1,2,1.0,14,13.666666666666666
0,0,19,2.5,1,3,0,1,1,2,1.0,40,11.666666666666666
1,0,18,3.5,1,3,1,1,3,4,1.0,9,9.333333333333334
0,0,17,3.5,1,3,1,1,3,4,3.5,0,10.666666666666666
1,0,18,4.0,1,2,0,1,4,4,3.0,2,11.0
1,0,17,3.5,1,2,0,1,2,2,1.5,23,13.0
1,0,17,2.0,1,2,0,0,2,2,1.0,12,9.666666666666666
0,0,17,2.0,1,3,1,1,3,2,2.0,3,11.0
1,0,17,2.0,1,3,0,1,4,3,2.5,1,13.666666666666666
1,0,17,1.0,2,3,0,1,3,3,2.5,0,15.333333333333334
1,1,18,4.0,1,3,1,1,3,3,2.0,3,10.666666666666666
1,1,17,3.0,1,1,1,1,3,5,4.0,3,15.0
0,1,17,2.0,4,1,0,1,4,5,5.0,8,10.333333333333334
1,0,17,4.0,1,3,1,1,4,4,2.0,7,9.333333333333334
1,0,17,4.0,2,3,0,1,3,3,1.5,4,14.0
1,1,18,2.0,1,4,1,1,5,5,3.0,2,8.333333333333334
0,0,17,3.0,1,3,0,1,4,3,1.0,7,13.333333333333334
1,0,17,3.5,1,3,0,1,4,5,2.0,16,15.333333333333334
0,0,19,2.0,1,3,0,0,4,3,1.5,12,13.333333333333334
1,0,18,3.0,1,4,0,1,3,3,1.0,7,16.0
0,0,17,2.5,1,2,0,1,3,3,2.5,4,9.666666666666666
1,0,19,1.5,1,3,1,1,3,4,2.0,4,11.333333333333334
1,1,18,3.5,1,2,1,1,3,3,2.0,11,15.333333333333334
1,0,18,2.5,1,3,0,1,3,3,1.5,4,10.333333333333334
1,0,18,2.5,1,3,0,1,4,3,2.5,7,13.333333333333334
0,1,18,3.5,1,3,0,1,3,2,1.5,9,15.666666666666666
1,1,18,3.5,1,3,0,1,4,5,2.5,0,9.666666666666666
1,0,17,3.5,1,3,1,1,4,3,2.0,0,14.333333333333334
